"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"lodgepole pine","Pinus contorta",7,"0-19 cubic feet/acre/year",108,5.41790312111464,24.2551358872232,0.408004984777099,33.4497941863353,64,20477
"mountain hemlock","Tsuga mertensiana",1,"225+ cubic feet/acre/year",264,12.920670531,0.156566274239677,-1.1643074698446e-13,0.0260089268846963,1,2621
"mountain hemlock","Tsuga mertensiana",2,"165-224 cubic feet/acre/year",264,10.3285080883201,1.68209502736888,7.09581658149328,0.49734252697915,17,20188
"mountain hemlock","Tsuga mertensiana",3,"120-164 cubic feet/acre/year",264,11.0209828032787,6.69931978462264,2.78786353701768,2.94161079902256,74,20477
"mountain hemlock","Tsuga mertensiana",4,"85-119 cubic feet/acre/year",264,8.6262635011965,22.2918216799101,0.333782537266465,12.2532435189428,138,20477
"mountain hemlock","Tsuga mertensiana",5,"50-84 cubic feet/acre/year",264,7.26524106386806,37.1802108554004,0.138606179567163,17.0344558473132,221,20477
"mountain hemlock","Tsuga mertensiana",6,"20-49 cubic feet/acre/year",264,6.6725144715515,65.3227587553615,0.16400305260048,51.1067190739171,228,20477
"mountain hemlock","Tsuga mertensiana",7,"0-19 cubic feet/acre/year",264,6.04001691992757,53.5595399162083,0.116113682407096,71.4253347496847,88,20477
"noble fir","Abies procera",1,"225+ cubic feet/acre/year",22,29.950418986799,56.713301240159,6.21529952297842,1393.78781090691,7,19947
"noble fir","Abies procera",2,"165-224 cubic feet/acre/year",22,30.9025968404221,60.1635188358817,4.13069744365645,96.5298434147352,93,20477
"noble fir","Abies procera",3,"120-164 cubic feet/acre/year",22,27.1596609707328,33.0523733841031,4.58757941233968,35.7955569271544,133,20477
"noble fir","Abies procera",4,"85-119 cubic feet/acre/year",22,19.4197527928386,23.0855104180826,4.00994071433088,21.4951167832699,98,20477
"noble fir","Abies procera",5,"50-84 cubic feet/acre/year",22,19.2798496417824,9.22643234212575,5.77251180044581,5.11668758445468,72,20477
"noble fir","Abies procera",6,"20-49 cubic feet/acre/year",22,10.7682854904651,3.78760803075766,0.981489680666179,1.87415735640552,22,20236
"noble fir","Abies procera",7,"0-19 cubic feet/acre/year",22,15.1625996556754,0.368690417238122,25.0815311900341,0.0398855321601684,5,15382
"northern California black walnut","Juglans hindsii",3,"120-164 cubic feet/acre/year",603,7.51249292918288,0.574659579331769,2.14429523293528e-14,0.35452096711074,1,4565
"Norway maple","Acer platanoides",2,"165-224 cubic feet/acre/year",320,21.6467591188454,0.188449906260978,-1.08856878218092e-13,0.0259824322774593,1,6606
"Oregon ash","Fraxinus latifolia",2,"165-224 cubic feet/acre/year",542,11.3925421196212,0.548300953146335,0.0411800188840154,0.175604279789282,3,11171
"Oregon ash","Fraxinus latifolia",3,"120-164 cubic feet/acre/year",542,13.9234742614028,7.90312052701641,3.29445828879371,4.68245758915344,31,17326
"Oregon ash","Fraxinus latifolia",4,"85-119 cubic feet/acre/year",542,17.6832555415958,3.82238428342454,9.92024532619383,6.1022644335931,7,17326
"Oregon ash","Fraxinus latifolia",5,"50-84 cubic feet/acre/year",542,12.9669345373286,1.51598748371064,1.16499505251704,1.06711561352263,7,12761
"Oregon ash","Fraxinus latifolia",7,"0-19 cubic feet/acre/year",542,11.6534980344979,2.85998240258731,6.08915157393319,3.49693666630136,6,12761
"Oregon crab apple","Malus fusca",2,"165-224 cubic feet/acre/year",661,-2.25798125784466,-0.0133807529616337,1.83540347085458e-15,0.00019156054637043,3,11171
"Oregon crab apple","Malus fusca",3,"120-164 cubic feet/acre/year",661,4.35413519800093,0.0590536666926844,6.91579737020834,0.002487951265568,3,13792
"Oregon crab apple","Malus fusca",4,"85-119 cubic feet/acre/year",661,5.50632938399518,0.179870407620571,5.87793840756313,0.0114540453169483,6,7186
"Oregon crab apple","Malus fusca",6,"20-49 cubic feet/acre/year",661,7.47983777254001,0.120618702686983,8.63738251800691,0.00753547003684658,3,11171
"Oregon white oak","Quercus garryana",2,"165-224 cubic feet/acre/year",815,11.838747198041,1.75296063041689,2.97326791429591,0.780000381551081,8,6606
"Oregon white oak","Quercus garryana",3,"120-164 cubic feet/acre/year",815,8.81958410184585,3.04334711086759,2.25160011349973,0.553353713112809,26,17326
"Oregon white oak","Quercus garryana",4,"85-119 cubic feet/acre/year",815,5.2006599179271,2.10755088680939,0.729763476974613,0.520253575532894,24,19947
"Oregon white oak","Quercus garryana",5,"50-84 cubic feet/acre/year",815,4.78131025350774,3.55632627127909,0.550936126269346,0.879471777509187,39,20236
"Oregon white oak","Quercus garryana",6,"20-49 cubic feet/acre/year",815,3.38205552869594,3.03939563806763,0.148166137426074,0.595189171094789,28,17326
"Oregon white oak","Quercus garryana",7,"0-19 cubic feet/acre/year",815,4.63195520957251,47.9113595407097,0.231049596032783,57.7453235042805,71,17326
"Pacific dogwood","Cornus nuttallii",1,"225+ cubic feet/acre/year",492,1.13752569969,0.114043430566038,-4.25222180539421e-16,0.00944441120920337,1,6606
"Pacific dogwood","Cornus nuttallii",2,"165-224 cubic feet/acre/year",492,1.92477084167289,0.0108962431250437,0.311604745450633,5.01096355877614e-05,11,19947
"Pacific dogwood","Cornus nuttallii",3,"120-164 cubic feet/acre/year",492,3.89385909317427,0.430723924869675,0.371339229505873,0.0279116024676775,36,20236
"Pacific dogwood","Cornus nuttallii",4,"85-119 cubic feet/acre/year",492,2.87046386796888,0.148787681026431,0.27583829620232,0.00507815689172167,18,19947
"Pacific dogwood","Cornus nuttallii",5,"50-84 cubic feet/acre/year",492,5.26271137863328,0.0687306664153207,3.10554299664439,0.00457680295716236,7,20236
"Pacific dogwood","Cornus nuttallii",6,"20-49 cubic feet/acre/year",492,2.17007894836364,0.00320861558615566,-2.46139381073397e-15,1.08074186294883e-05,3,12761
"Pacific madrone","Arbutus menziesii",2,"165-224 cubic feet/acre/year",361,9.72217369233019,1.72266019338474,10.3245067536585,0.680919071051181,10,17326
"Pacific madrone","Arbutus menziesii",3,"120-164 cubic feet/acre/year",361,6.41267530262633,8.23025250390284,0.585803087564288,2.28241474659552,98,17615
